"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"Khon Kaen Sugar Power Plant Co. Ltd.",Biomass,Operational,65,,Thailand,"Khon Kaen Sugar Industry Public Company Limited",,,," ",Thailand,"Khon Kaen","Nam Phong"
"Khon Kaen Sugar Power Plant Co. Ltd.",Biomass,Unknown,30,2006,"Thailand; United Kingdom; Japan","Khon Kaen Sugar Industry Public Company Limited; Agrinergy Ltd.; Yoshimine Co. Ltd; Skinko Industrial Ltd.",,,," ",Thailand,"Khon Kaen","Nam Phong"
"Khonburi Sugar Public Company Limited",Biomass,Operational,22,,Thailand,"Khonburi Sugar Public Company Limited",,,," ",Thailand,"Nakhon Ratchasima","Khon Buri"
"Khun Dan Prakarn Chon Dam",Hydro,Operational,11,,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Nakhon Nayok","Pak Phli"
"KI Sugar Group: Korach Industry Co. Ltd.",Biomass,Unknown,42,1990,Thailand,"Korach Industry Co. Ltdl. (KI Sugar Group)",,,," ",Thailand,"Nakhon Ratchasima",Phimai
"KI Sugar Group: Surin Electric Co. Ltd.",Biomass,Unknown,30,2005,Thailand,"Surin Electric Co. Ltd (KI Sugar Group)",,,," ",Thailand,Surin,Phrasat
"KI Sugar: KI Biogas Co. Ltd. Wastewater Treatment for Energy Generation",Waste,Unknown,4,2008,Thailand,"KI Biogas Co. Ltd. (KI Sugar Group)",,,," ",Thailand,"Nakhon Ratchasima",Phimai
"KI Sugar: KI Biogas Co. Ltd. Wastewater Treatment for Energy Generation",Waste,Unknown,4,2008,Thailand,"KI Biogas Co. Ltd. (KI Sugar Group)",,,," ",Thailand,"Nakhon Ratchasima",Phimai
"Kien Giang 1, 2 (Nhà máy điện Kiên Giang I, II) - Chuỗi dự án khí lô B",Gas,Planned,750,2022,Vietnam,"Petrovietnam (Tập đoàn Dầu khí Quốc Gia Việt Nam)",,,," ",Vietnam,"Kiên Giang","An Biên"
"Kien Luong 1 Thermal Power Plant (Nhà máy điện Kiên Lương 1)",Coal,Cancelled,1200,2030,Vietnam,"Tan Tao Energy (Vietnam) Công Ty Cổ Phần Phát triển Năng lượng Tân Tạo","United Kingdom","Standard Chartered Bank (UK)",China,"Huadian (China)",Vietnam,"Kiên Giang","Kiên Lương"
"Kien Luong 2 Thermal Power Plant (Nhà máy điện Kiên Lương 2)",Coal,Cancelled,1200,2030,Vietnam,"Tan Tao Energy (Vietnam) Công Ty Cổ Phần Phát triển Năng lượng Tân Tạo",,,," ",Vietnam,"Kiên Giang","Kiên Lương"
"Kien Luong 3 Thermal Power Plant (Nhà máy điện Kiên Lương 3)",Coal,Cancelled,2000,2030,Vietnam,"Tan Tao Energy (Vietnam) Công Ty Cổ Phần Phát triển Năng lượng Tân Tạo",,,," ",Vietnam,"Kiên Giang","Kiên Lương"
"Kiew Kor Mah Hydropower Plant",Hydro,Operational,5.5,2018,Thailand,"EGAT (Thailand)",,,Thailand,"Phararam 2 Civil Engineering (Thailand)",Thailand,Lampang,"Muang Lampang"
"Kindaw (Kinda)",Hydro,Operational,56,1985,,,UNDP,UNDP,," ",Myanmar,Mandalay,Kyaukse
"Kirirom I",Hydro,Operational,12,2002,China,"China Electric Power Technology Import & Export Company (CEPTIEC)",China,"China EXIM Bank (China)",China,"China Electric Power Technology Import and Export Company (CEPTIEC)",Cambodia,"Koh Kong","Kampong Seila"
"Kirirom II",Hydro,Planned,1,,,,,,," ",Cambodia,"Koh Kong","Kampong Seila"
"Kirirom III Hydropower plant",Hydro,Operational,18,2013,China,"State Grid Corporation of China (China)",China,"China EXIM Bank (China)",China,"Hydrochina Zhongnan Engineering (China)",Cambodia,"Koh Kong","Srae Ambel"
"Kitroongruang Biogas Energy Project",Waste,Unknown,1.451,,Thailand,"Thai Biogas Energy Co. Ltd.",,,"United Kingdom","EcoSecurities International Ltd.",Thailand,Rayong,"Muang Rayong"
"Klong Tron Hydropower Plant",Hydro,"Under Construction",2.5,2018,Thailand,"EGAT (Thailand)",,,," ",Thailand,Uttaradit,"Nam Pat"
"Koh Kong Thermal Power Plant",Coal,Planned,2000,,"Thailand; Cambodia","L.Y.P. Group (Cambodia), Thai Samart (Thailand)",Thailand,"Thai Banks (Thailand)",," ",Cambodia,"Koh Kong","Thma Bang"
"Koh Reah Thermal Power Plant","Mixed Fossil Fuel",Planned,400,,Cambodia,"Electricite du Cambodge (Cambodia)",Cambodia,"Government of Cambodia; Electricite du Cambodge",China,"China Gezhouba Group Cooperation-UN Power Co. (China), China National Heavy Machinery Corp. (China)",Cambodia,Kandal,"Lvea Aem"
"Kon Dao",Hydro,Operational,1,1984,,,,,," ",Vietnam,"Kon Tum","Đắk Tô"
"Korat 1 Solar Power Plant",Solar,Operational,6.1,2010,"Thailand; IFC","Solar Power (Korat 1) Company Limited (Solar Power Co. Ltd; International Finance Corporation; Thai Fa Power Co. Ltd)",,,," ",Thailand,"Nakhon Ratchasima","Non Sung"
"Korat 2 Solar Power Plant",Solar,Operational,6.1,2011,Thailand,"Solar Power (Korat 2) Company Limited (Solar Power Co. Ltd; Thai Fa Power Co. Ltd_",,,," ",Thailand,"Nakhon Ratchasima","Non Sung"
"Korat 3 Solar Power Plant",Solar,Operational,6.1,2012,Thailand,"Solar Power (Korat 3) Company Limited (Solar Power Co. Ltd.; Ratchaburi Electricity Generating Holding Public Co. Ltd.)",,,," ",Thailand,"Nakhon Ratchasima","K. Sida"
"Korat 4 Solar Power Plant",Solar,Operational,6.1,2012,Thailand,"Solar Power (Korat 4) Company Limited (Solar Power Co. Ltd.; Ratchaburi Electricity Generating Holding Public Co. Ltd.)",,,," ",Thailand,"Nakhon Ratchasima","Chok Chai"
"Korat 5 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power (Korat 5) Company Limited (Solar Power Co. Ltd.)",,,," ",Thailand,"Nakhon Ratchasima","Bua Yai"
"Korat 6 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power (Korat 6) Company Limited (Solar Power Co. Ltd.)",,,," ",Thailand,"Nakhon Ratchasima",Chakkarat
"Korat 7 Solar Power Plant",Solar,Operational,6.1,2012,Thailand,"Solar Power (Korat 7) Company Limited (Solar Power Co. Ltd.; Ratchaburi Electricity Generating Holding Public Co. Ltd.)",,,," ",Thailand,"Nakhon Ratchasima","Dan Khun Thot"
"Korat 8 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power (Korat 8) Company Limited (Solar Power Co. Ltd.)",,,," ",Thailand,"Nakhon Ratchasima","Bua Yai"
"Korat 9 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power (Korat 9) Company Limited (Solar Power Co. Ltd.)",,,," ",Thailand,"Nakhon Ratchasima","Sung Noen"
"Korat S.W. Wastewater Treatment Project",Waste,Unknown,,,Thailand,"Korat S.W. Group 2007 Co. Ltd.",,,"United Kingdom; Germany","Agrinergy Pte Ltd. (UK); RWE Power Aktiengesellschaft (Germany)",Thailand,Chanthaburi,Soydow
"Korat Waste to Energy Project",Waste,Unknown,5,,Thailand,"Korat Waste to Energy Company Ltd",,,"United Kingdom","EcoSecurities Group plc.",Thailand,"Nakhon Ratchasima","Muang Nakhon Ratchasima"
Krabi,Gas,Operational,340,2004,Thailand,"EGCO (Electricity Generating Public Company, Ltd.)",,,," ",Thailand,Krabi,"Nua Khlong"
"Krabi 1 Power Plant Project",Biomass,Unknown,9.5,2006,Thailand,"Tropical Asia International Co., Ltd.",,,Thailand,"ATT Consultants Co. Ltd.",Thailand,Krabi,"Khao Phanom"
"Krabi Natural Gas/Deisel","Mixed Fossil Fuel",Operational,315,2004,Thailand,"EGAT (Thailand)",,,," ",Thailand,Krabi,"Nua Khlong"
"Krabi Power Plant",Coal,Planned,800,2021,Thailand,"EGAT (Thailand)",,,"Thailand; Italy; China","Italian Thai Development Plc (Thailand); Power Construction Corporation of China (China)",Thailand,Krabi,"Muang Krabi"
"Krakor 60 MW Solar (SchneiTec)",Solar,Operational,60,2020,"Cambodia; China","SchneiTec Group",,,," ",Cambodia,Pursat,Krakor
"Krong H'Nang",Hydro,Operational,64,2011,Vietnam,"EVN (Vietnam)",,,," ",Vietnam,"Phú Yên","Sông Hinh"
"Krong Kmar",Hydro,Operational,12,2008,Vietnam,"Song Da Investment and Development JSC",,,," ",Vietnam,"Đắk Lắk","Krông Bông"
"Krong No 2 (Thủy điện Krong No 2)",Hydro,Operational,30,2017,Vietnam,"Trungnam Krong No (Vietnam)",Vietnam,"Saigon Hanoi Commercial Joint Stock Bank (Vietnam)",," ",Vietnam,"Lâm Đồng","Lạc Dương"
"Krong No 3",Hydro,Operational,18,2016,Vietnam,"Trung Nam Power",,,," ",Vietnam,"Lâm Đồng","Đam Rông"
