"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"300 MW Attapeu & Borikhamxay",Solar,Planned,250,2019,,,,,," ",Laos,"Vientiane [prefecture]",Chanthabuly
"300 MW Attapeu & Borikhamxay",Solar,Planned,50,2019,USA,"Convalt Energy LLC (USA)",,,," ",Laos,Attapu,Samakkhixay
"A Luoi",Hydro,Operational,170,2012,Vietnam,"Central Region Hydropower JSC",,,Vietnam,VINAINCON,Vietnam,"Thừa Thiên Huế","A Lưới"
"A Vuong",Hydro,Operational,210,2008,Vietnam,"A Vuong Hydro Power JSC",,,"Japan; Vietnam","Sumitomo, Licogi",Vietnam,"Quảng Nam","Đông Giang"
"A.T. Biopower Rice Husk Power Project",Biomass,Operational,22.5,2004,Thailand,"A.T. Biopower",,,," ",Thailand,Phichit,"Bang Mun Nak"
"Active Synergy Landfill Gas Power Generation Project",Waste,Unknown,1.04,,Thailand,"Active Synergy Co., Ltd.",,,"United Kingdom","EDF Trading Ltd (EDFT)",Thailand,"Nakhon Pathom","Kamphaeng Saen"
"Advanced Wastewater Management at Rajburi Ethanol Plant",Waste,Unknown,,,Thailand,"Rajburi Ethanol Co.",,,Sweden,"Carbon Asset Management Sweden AB",Thailand,Ratchaburi,"Ban Pong"
"Agricultural cooperative solar project",Solar,"Under Construction",5,2018,China,"ReneSola Ltd (China)",,,China,"ReneSola Ltd (China)",Thailand,Rayong,"Muang Rayong"
Ahlone,Gas,Operational,153,1995,Myanmar,"MEPE (Myanmar)",,,," ",Myanmar,Yangon,Yangon-E
Ahlone,Gas,Planned,388,,"Thailand; Japan; Myanmar","TTCL Myanmar Power Co., Ltd (Thailand, Japan, Myanmar)",,,Thailand,"Toyo-Thai [Italian-Thai Development (Thailand), Toyo Engineering (Japan)]",Myanmar,Yangon,Yangon-W
Ahlone,Gas,Operational,120,2013,"Thailand; Japan; Myanmar","Toyo Thai Power Myanmar Co., Ltd (Thailand, Japan, Myanmar)",,,," ",Myanmar,Yangon,Yangon-W
"AJ Technology Company Limited (AJ)",Solar,Operational,3.7,2013,Thailand,"AJ Technology Co. Ltd. (Solar Power Asset Co., Ltd., Dr. Art-ong Jumsai No Ayudhya, Mr. Krit Jumsai Na Adhya, Solar Power Co., Ltd.)",,,," ",Thailand,"Lop Buri","Chai Badan"
"Ajinomoto Waste Water Treatment and Biogas Utilization Project",Biomass,Operational,4,2008,Japan,"Ajinomoto Co., Ltd.",,,," ",Thailand,"Kamphaeng Phet","Mueang Kamphaeng Phet"
"Akekamai-Ramintra Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited (TSE)",,,," ",Thailand,"Bangkok Metropolis","Khan Na Yao"
Amata,Oil,Operational,13,,,,,,," ",Vietnam,"Đồng Nai","Biên Hòa"
"Amata B.Grimm",Gas,Operational,732,2016,Thailand,"B. Grimm Power",,,"Japan; Germany; Finland; France","Siemens, Sumitomo Corporation, Toshiba Plant Systems, Alstom Power, Pöyry Energy",Thailand,"Chon Buri","Muang Chon Buri"
"Amata B.Grimm Power (Rayong) 1",Gas,Operational,123.3,2013,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng"
"Amata B.Grimm Power (Rayong) 2",Gas,Operational,124.4,2013,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng"
"Amata B.Grimm Power (Rayong) 3",Gas,Operational,133,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng"
"Amata B.Grimm Power (Rayong) 4",Gas,Operational,133,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng"
"Amata B.Grimm Power (Rayong) 5",Gas,Operational,133,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng"
"An Khanh - Bac Giang (Nhà máy Nhiệt điện An Khánh - Bắc Giang)",Coal,Planned,650,2023,Vietnam,"An Khanh - Bac Giang Thermal Power JSC",China,"China Development Bank (CDB); Industrial and Commercial Bank of China (ICBC)",," ",Vietnam,"Bắc Giang","Lục Nam"
"An Khanh I (Nhà máy nhiệt điện An Khánh I)",Coal,Operational,120,2015,Vietnam,"An Khanh Electricity JSC","China; Vietnam","China Communications Bank; Bank of China, China Construction Bank, China Exim Bank, Bank for Investment and Development of Vietnam",China,"China People Electricity and Gas Group",Vietnam,"Thái Nguyên","Đại Từ"
"An Khanh II (Nhà máy nhiệt điện An Khánh II)",Coal,Cancelled,300,2023,Vietnam,"An Khanh Electricity JSC",,,," ",Vietnam,"Thái Nguyên","Đại Từ"
"An Khe - Kanak (Thủy điện An Khê - Kanak)",Hydro,Operational,173,2011,Vietnam,"An Khe - Ka Nak Hydro Power Co.",,,," ",Vietnam,"Gia Lai",KBang
"An Khe Biomass Power #1 Expansion (Nhà máy điện sinh khối An Khê)",Biomass,Operational,95,2017,Vietnam,"Quang Ngai Sugar Cane JSC",Vietnam,"Quang Ngai Sugar Cane JSC",," ",Vietnam,"Gia Lai","An Khê"
"Ang Thong Solar Power Plant",Solar,Operational,1.2,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,"Ang Thong","Muang Ang Thong"
"Angkor Biomass",Biomass,Operational,2,2011,Cambodia,"Angkor Bio Cogen Co., Ltd.","Japan; Sweden","Mitsubishi UFJ Morgan Stanley Securities Co Ltd (Japan);  ADB as Trustee of the Future Carbon Fund; Swedish Energy Agency (Sweden)",," ",Cambodia,Kandal,"Angk Snuol"
"Angvian Industry Co., Ltd",Biomass,Unknown,30,,Thailand,"Wangkanai Group",,,," ",Thailand,"Nakhon Ratchasima","Kaeng Sanam Nang"
"Anita Asia Rooftop Solar",Solar,Operational,0.0926,2017,"Austria; Myanmar","Anita Asia",,,Laos,"Sunlabob Renewable Energy Co. (Laos)",Myanmar,Yangon,Yangon-N
Ann,Wind,Planned,120,,China,"China Three Gorges (China)",,,," ",Myanmar,Rakhine,Kyaunkpyu
Ann,Wind,Planned,240,,China,"China Three Gorges (China)",,,," ",Myanmar,Rakhine,Kyaunkpyu
Annchaung,Hydro,Cancelled,10,,Myanmar,MOEP,,,," ",Myanmar,Rakhine,Kyaunkpyu
"ANZ bank project",Solar,Operational,0.09,2016,Laos,"Sunlabob Renewable Energy (Laos)",,,," ",Laos,"Vientiane [prefecture]",Sisattanak
"Auto Alliance Rooftop Solar",Solar,"Under Construction",5,2021,Thailand,"Auto Alliance",,,Thailand,"WHA Utilitties and Power Plc",Thailand,Rayong,"Pluak Daeng"
"Ayun Ha",Hydro,Operational,3,,Vietnam,"Gia Lai Electricity JSC.",,,," ",Vietnam,"Gia Lai","Phú Thiện"
"Ayuthaya Mill",Coal,Operational,36,2017,Thailand,"Hiang Seng Fibre Container Co (Thailand)",,,," ",Thailand,"Phra Nakhon Si Ayutthaya","Bang Sai"
"B&T Wind Farm (Trang trại điện gió B&T)",Wind,Planned,352,,Philippines,"The Ayala Group",,,," ",Vietnam,"Quảng Bình","Bố Trạch"
"B.Grimm BIP",Gas,Operational,230,2016,Thailand,B.Grimm,,,," ",Thailand,"Pathum Thani","Muang Pathum Thani"
"B.Grimm Power (Laem Chabang) 1&2",Gas,Operational,159,2009,Thailand,B.Grimm,,,," ",Thailand,"Chon Buri","Si Racha"
"B.Grimm Power (WHA) 1 Limited (Bowin Clean Energy)",Gas,Operational,132,2017,Thailand,"Bowin Clean Energy, Ltd., Hemaraj Energy, Ltd., B.Grimm Power",,,"Finland; Japan","Pöyry, Sumitomo Corp., Toshiba Plant Systems",Thailand,"Chon Buri","Si Racha"
"Ba Ria",Gas,Operational,389,,Vietnam,"Vietnam Electricity (EVN)",,,," ",Vietnam,"Bà Rịa - Vũng Tàu","Bà Rịa"
"Ba Thuoc 2",Hydro,Operational,80,2013,Vietnam,"Hoang Anh Lai",,,," ",Vietnam,"Thanh Hóa","Bá Thước"
"Baan-Kluai Solar Power Plant Phase 1 at Gunkul",Solar,Unknown,8.61,,"Thailand; United Kingdom","Gunkul Powergen Co. Ltd., Agrinergy Pte Ltd.",,,," ",Thailand,Phetchabun,"Chon Daen"
"Baanrai Biomass Power Plant",Biomass,Operational,9.9,2013,Thailand,"Baanrai Electricity Generating Co., Ltd. (subsidiary of Thai Roong Ruang Sugar Group)",,,," ",Thailand,"Uthai Thani","Ban Rai"
"Bac Ai Pumped-Storage Hydropower Project",Hydro,"Under Construction",1200,2029,Vietnam,EVN,,,Vietnam,"Power Engineering Consulting JSC 4, Construction JSC 47",Vietnam,"Ninh Thuận","Bác Ái"
"Bac Binh",Hydro,Operational,33,2009,Vietnam,"Power Development JSC",,,," ",Vietnam,"Bình Thuận","Bắc Bình"
"Bac Ha",Hydro,Operational,90,,Vietnam,LICOGI,,,," ",Vietnam,"Lào Cai","Bắc Hà"
"Bac Lieu Cai Cung (Nhà máy Nhiệt điện Bạc Liêu - Cái Cùng)",Coal,Cancelled,1200,2019,"Vietnam; Japan","Nhiệt điện Cái Cùng -- a JV betwen (1)Tập đoàn Điện lực Việt Nam - EVN, (2)Tập đoàn Sojitz Kyushu",,,," ",Vietnam,"Bạc Liêu","Hoà Bình"
"Bac Lieu LNG ((Nhà máy nhiệt điện khí LNG Bạc Liêu) - built in 3 stages",Gas,Planned,3200,2027,"USA; Vietnam","Delta Offshore Energy, Viện Năng Lượng (Ministry of Commerce and Trade)",,,," ",Vietnam,"Bạc Liêu","Hoà Bình"
"Bac Lieu Wind 1-2 (Nhà máy Điện gió Bạc Liêu giai đoạn 1 và 2)",Wind,Operational,142,2018,Vietnam,"Cong Ly Ltd Co (Công ty trách nhiệm hữu hạn Xây dựng - Thương mại và Du lịch Công Lý)",,,," ",Vietnam,"Sóc Trăng","Vĩnh Châu"
"Bac Lieu Wind 3 (Nhà máy Điện gió Bạc Liêu giai đoạn 3)",Wind,Planned,133,2018,Vietnam,"Cong Ly Ltd Co (Công ty trách nhiệm hữu hạn Xây dựng - Thương mại và Du lịch Công Lý)",,,," ",Vietnam,"Bạc Liêu","Bạc Liêu"
"Bac Me",Hydro,Operational,45,2018,Vietnam,Vietracimex,Japan,"Sumitomo Mitsui Banking Corporation (Japan); The Gunma Bank Ltd. (Japan); The Chugoku Bank.; Ltd. (Japan); and The Bank of Yokohama; Ltd.. (Japan)",," ",Vietnam,"Hà Giang","Bắc Mê"
"Baluchaung (Upper)",Hydro,"Under Construction",30.4,,Myanmar,"Neo Energy Oasis Development Co., Ltd. (Myanmar)",,,Japan,"Nippon Koei Co., Ltd  (Project Participant) (Japan)",Myanmar,Shan,Taunggye
Baluchaung-1,Hydro,Operational,28,1992,Myanmar,MEPE,Japan,"Japanese assistance (Japan)",Japan,"Nippon Koei co., Ltd",Myanmar,Kayah,Loikaw
Baluchaung-2,Hydro,Operational,168,1954,Myanmar,"MEPE (Myanmar)",Japan,"Japanese assistance (Japan)",," ",Myanmar,Kayah,Loikaw
Baluchaung-3,Hydro,Operational,52,2015,Myanmar,"Future Energy (Myanmar)",Japan,"Japanese assistance (Japan)",," ",Myanmar,Kayah,Loikaw
"Bamnet Narong - BSE Solar Power Plant",Solar,Operational,16,,Thailand,"Bangchak Solar Energy Company, Ltd.",,,," ",Thailand,Chaiyaphum,"Bamnet Narong"
"Bamnet Narong - BSP Solar Power Plant",Solar,Operational,22.5,,Thailand,"Siam Solar Generation Company Limited",,,," ",Thailand,Chaiyaphum,"Bamnet Narong"
"Bamnet Narong power station",Coal,"Under Construction",56,2020,Thailand,"ASEAN Potash Mining Company (Thailand)",,,," ",Thailand,Chaiyaphum,"Bamnet Narong"
"Ban Beung Power Plant",Biomass,Operational,9.9,2012,Thailand,"Advance Clean Power Co., Ltd.",,,," ",Thailand,"Chon Buri","Ban Bung"
"Ban Chan De Hydropower Plant",Hydro,"Under Construction",18,2020,Thailand,EGAT,,,," ",Thailand,Kanchanaburi,"Muang Kanchanaburi"
"Ban Chat (Thủy điện Bản Chát)",Hydro,Operational,220,2013,Vietnam,EVN,,,Vietnam,"Infrastructure Development and Construction Corporation(LICOGI)",Vietnam,"Lai Châu","Than Uyên"
"Ban Coc",Hydro,Operational,18,2009,Vietnam,"Que Phong Hydropower JSC",,,," ",Vietnam,"Nghệ An","Quế Phong"
"Ban Khun Klang Dam",Hydro,Operational,0.2,1982,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Chiang Mai","Chom Thong"
"Ban Kluai Solar Power Plant",Solar,Operational,7.4,,"Thailand; Japan","Gunkul Chubu Powergen Company Limited (Thailand, Japan)",,,," ",Thailand,Phetchabun,"Chon Daen"
"Ban Koum",Hydro,Planned,1872,,"Thailand; Laos","Italian Thai and Asian Corp Holdings Limited (Thailand)",,,," ",Thailand,"Ubon Ratchathani","Khong Chiam"
"Ban Krut Power Plant",Gas,Unknown,1400,,"Thailand; Japan; Hong Kong, China","Union Power Development Co. Ltd. (Thailand); Tomen Co. (Japan); Toyota Tsusho (Japan); Shubu Electric (Japan); Hong Kong Electric",,,," ",Thailand,Rayong,"Ban Khai"
"Ban Ra",Hydro,Operational,18,2012,Vietnam,"Dong Bac. EL JSC",,,," ",Vietnam,"Cao Bằng","Trùng Khánh"
"Ban Santi",Hydro,Operational,1.28,1981,Thailand,"EGAT (Thailand)",,,," ",Thailand,Yala,"Bannang Star"
"Ban Ve (Thủy điện Bản Vẽ)",Hydro,Operational,320,2010,Vietnam,"EVN (Vietnam)",,,Vietnam,"Song Da Construction Corp.",Vietnam,"Nghệ An","Tương Dương"
"Ban Yang Dam",Hydro,Operational,0.13,1972,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Chiang Mai","Mae Chaem"
"Bang Ban Solar Power Plant",Solar,Operational,7,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,"Phra Nakhon Si Ayutthaya","Bang Ban"
"Bang Bo",Gas,Operational,350,2000,Thailand,"Eastern Power and Electric Company",,,," ",Thailand,"Samut Prakan","Bang Bo"
"Bang Lang Dam",Hydro,Operational,76,1981,Thailand,"EGAT (Thailand)",,,," ",Thailand,Yala,"Bannang Star"
"Bang Pakong",Gas,Operational,4384,,Thailand,"Electric Generating Authority of Thailand",Thailand,"Electric Generating Authority of Thailand",Thailand,"Electric Generating Authority of Thailand",Thailand,Chachoengsao,"Bang Pakong"
"Bang Pakong Power Plant",Gas,Operational,2490,1985,Thailand,"EGAT (Thailand)",,,," ",Thailand,Chachoengsao,"Bang Pakong"
"Bang Sai Solar Power Plant",Solar,Operational,1.7,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,"Phra Nakhon Si Ayutthaya","Bang Sai"
"Bang Wou Power Plant",Biomass,Unknown,3,1987,Thailand,"Advance Power Conversion Co., Ltd.",,,," ",Thailand,"Suphan Buri","Muang Suphanburi"
"Bangchak Solar Power Plant",Solar,Operational,16,,Thailand,"Bangchak Solar Energy Company, Ltd.",,,," ",Thailand,"Phra Nakhon Si Ayutthaya","Bang Pa-In"
"Bangchak Solar Power Project",Solar,Operational,44.5,2013,Thailand,"SOLARCO COMPANY LIMITED (Thailand), Yanhee EGCO Holding (Thailand)",ADB,ADB,," ",Thailand,"Phra Nakhon Si Ayutthaya","Bang Pa-In"
"Bangkok Hsfc Plant 2R",Coal,Operational,36,2000,Thailand,"Hiang Seng Fibre Container Co (Thailand)",,,," ",Thailand,"Phra Nakhon Si Ayutthaya","Nakhon Luang"
"Bangkok Kamphaeng Saen East",Waste,Unknown,8,,Thailand,"Bangkok Greenpower Co., Ltd.","United Kingdom","Xentolar Holdings Ltd. (UK); Sindicatum Carbon Capital Ltd. (UK)",," ",Thailand,"Nakhon Pathom","Kamphaeng Saen"
"Bangkok Kamphaeng Saen West",Waste,Unknown,8,,Thailand,"Progress Energy Co. Ltd","Thailand; United Kingdom","Zenith Green Energy Co. Ltd. (Thailand); Xentolar Holdings Ltd. (UK); Sindicatum Carbon Capital Ltd. (UK)",," ",Thailand,"Nakhon Pathom","Kamphaeng Saen"
"Bangna Starch Wastewater Treatment",Waste,Unknown,2.85,,Thailand,"P & Papop Renewable Co. Ltd.",,,Switzerland,"South Pole Carbon Asset Management ltd.",Thailand,Kalasin,"Yang Talat"
"Bangpakong Power Plant",Biomass,Unknown,10.4,1991,Thailand,"Advance Power Conversion Co., Ltd.",,,," ",Thailand,Chachoengsao,"Sanam Chaikhet"
"Bangsapan-noi Biomass Company Limited Biomass Generation",Biomass,Unknown,8,2009,Thailand,"TPC Power Holding PLC",,,," ",Thailand,"Prachuap Khiri Khan","Bang Saphan Noi"
"Banteay Meanchey Solar Plant",Solar,"Under Construction",30,2022,Thailand,"Ray Power Supply Co. Ltd.",,,," ",Cambodia,"Banteay Meanchey","Preah Netr Preah"
"Battambang 60 MW Solar",Solar,"Under Construction",60,2020,China,"Risen Energy","Germany; EU; France","Deutsche Investitions- und Entwicklungsgesellschaft, European Investmtn Bank, French Development Agency",," ",Cambodia,Battambang,Sangkae
"Bau Ngu (Điện mặt trời Bàu Ngứ)",Solar,"Under Construction",50,2019,Vietnam,"Công ty CP Đầu tư xây dựng và phát triển Trường Thành (Vietnam)",,,," ",Vietnam,"Ninh Thuận","Thuận Nam"
"Bau Zon (Điện mặt trời Bàu Zôn)",Solar,"Under Construction",25,2020,Vietnam,"Công ty Cổ phần Bắc Phương và Công ty TNHH năng lượng mặt trời TT.Sunglim (Vietnam)",Vietnam,"Vietcombank (Vietnam)",," ",Vietnam,"Ninh Thuận","Ninh Phước"
"Bavet City Solar PV Plant",Solar,Operational,10,2017,"Singapore; Cambodia","Sunseap (Asset) Cambodia Co. Ltd, majority-owned subsidiary of Sunseap Group (Singapore)",ADB,ADB,," ",Cambodia,"Svay Rieng","Svay Teab"
Bawgata,Hydro,Planned,160,2020,Myanmar,"Thoolei Co. (Myanmar)",,,Myanmar,"Thoolei (Myanmar)",Myanmar,Bago,Taungoo
"BCG Bang Duong (Nhà máy điện mặt trời Băng Dương)",Solar,Planned,40.6,2019,Vietnam,"Bamboo Capital Group BCG (Tập đoàn Bamboo Capital) and Bang Duong Construction Co. Ltd. (Công ty TNHH Xây dựng Băng Dương - EPC), through BCG Bang Duong JSC",Vietnam,"Tien Phong Bank","Vietnam; Germany","TRACODI (Công Ty cổ phân Đầu tư Phát triển Công Nghiệp và Vận tải), Syntegra Solar (Germany) (Design consultant and supervisory consultant)",Vietnam,"Long An","Thạnh Hóa"
Belin,Hydro,Planned,280,2021,Myanmar,"Ministry of Electricity & Energy",,,Myanmar,"Ministry of Electricity & Energy",Myanmar,Mon,Thaton
"Ben Tre Nexif stage 1, 2, 3 (nhà máy Điện Gió Bến Tre Nexif Energy)",Wind,"Under Construction",80,2020,Singapore,"Nexif Energy (Singapore)",,,," ",Vietnam,"Bến Tre","Thạnh Phú"
"Bhumibol Dam",Hydro,Operational,779,1964,Thailand,"EGAT (Thailand)",,,Thailand,"Yanhee Electricity Authority",Thailand,Tak,"Sam Ngao"
"BIA Co. Lted.",Waste,Unknown,1.4,,Cambodia,"Soma Energy",,,,,Cambodia,Battambang,Kamrieng
"Big C roof-top solar",Solar,"Under Construction",16,2019,Japan,"Sharp Corp (Japan)",,,," ",Thailand,"Nakhon Ratchasima","Muang Nakhon Ratchasima"
"BIM 1 (Nhà máy điện mặt trời BIM 1)",Solar,Operational,30,2019,"Vietnam; Philippines","CT Năng Lượng BIM Energy, Tập Đoàn BIM Group, AC Energy (subsidiary ò Ayala Group (Philippines)","Philippines; Vietnam","Rizal Commercial Banking, BIM Group, AC Energy","France; Germany","Bouygues Energies & Services, Juwi",Vietnam,"Ninh Thuận","Thuận Nam"
"BIM 2 (Nhà máy điện mặt tròi BIM 2)",Solar,Operational,250,2019,"Vietnam; Philippines","CT Năng Lượng BIM Energy, Tập Đoàn BIM Group, AC Energy (subsidiary ò Ayala Group (Philippines)","Philippines; Vietnam","Rizal Commercial Banking, BIM Group, AC Energy",France,"Bouygues Energies & Services",Vietnam,"Ninh Thuận","Thuận Nam"
"BIM 3 (Nhà máy điện mặt trời BIM 3)",Solar,Operational,50,2019,"Vietnam; Philippines","CT Năng Lượng BIM Energy, Tập Đoàn BIM Group, AC Energy (subsidiary ò Ayala Group (Philippines)","Philippines; Vietnam","Rizal Commercial Banking, BIM Group, AC Energy","France; Germany","Bouygues Energies & Services, Juwi",Vietnam,"Ninh Thuận","Thuận Nam"
"Binh An (Nhà máy điện mặt trời Bình An) 58.88 ha - completed in 3 stages",Solar,Operational,50,2019,Vietnam,"CT TNHH Năng Lượng Everich Bình Thuận",,,," ",Vietnam,"Bình Thuận","Bắc Bình"
"Binh Dai 1 (Nhà máy điện gió Bình Đại giai đoạn 1)",Wind,"Under Construction",30,2017,,"Mekong Wind Power JSC, a TTC Affiliate (Vietnam)",,,," ",Vietnam,"Bến Tre","Bình Đại"
"Binh Dai 2 (Nhà máy điện gió Bình Đại giai đoạn 2)",Wind,Planned,280,2020,,"Mekong Wind Power JSC, a TTC Affiliate",,,," ",Vietnam,"Bến Tre","Bình Đại"
"Binh Dien",Hydro,Operational,44,2009,Vietnam,"EVN (Vietnam); Binh Dien Hydropower JSC",,,," ",Vietnam,"Thừa Thiên Huế","Hương Trà"
"Binh Dinh (Nhà máy nhiệt điện Bình Định)",Coal,Cancelled,1200,2016,Thailand,"Electricity Generating Authority of Thailand - EGAT International (Thailand)",,,," ",Vietnam,"Bình Định","Qui Nhơn"
"Binh Dinh 2 (Nhà máy nhiệt điện Bình Định 2)",Coal,Cancelled,1200,2016,Thailand,"Electricity Generating Authority of Thailand - EGAT International (Thailand)",,,," ",Vietnam,"Bình Định","Qui Nhơn"
"Binh Nguyen (Điện mặt trời Bình Nguyên)",Solar,Operational,50,2019,"Thailand; Vietnam","Tập đoàn Trường Thành Việt Nam, (Vietnam), Tập đoàn Sermsang (Thailand)",,,," ",Vietnam,"Quảng Ngãi","Bình Sơn"
"Bio-Mass Power Co., Ltd.",Biomass,Unknown,5,,Thailand,"Bio-Mass Power Co., Ltd.",,,," ",Thailand,Chachoengsao,"Sanam Chaikhet"
"Biogas from Ethanol Wastewater",Waste,Unknown,1.24,2013,Thailand,"Bio Natural Energy Co., Ltd.",,,Japan,"EX Corporation",Thailand,"Si Sa Ket","Khun Han"
"Biogas from Wastewarer Management by Palm Power Green Co. Ltd.",Waste,Unknown,3.3,,Thailand,"Palm Power Green Co. Ltd. (A.S.T. Palm Oil Co. Ltd.)",,,," ",Thailand,"Prachuap Khiri Khan","Bang Saphan Noi"
"Biogas production from waste water of tapioca starch plant",Waste,Unknown,6.24,,Thailand,"Thai Nam Tapioca Co. Ltd.",,,," ",Thailand,"Udon Thani","Muang Udon Thani"
"Biomass based Power Project",Biomass,Unknown,9.8,2012,"Thailand; Germany","Evergreen Plus Co. Ltd.; RWE Power Aktiengesellschaft",,,," ",Thailand,"Lop Buri","Phatthana Nikhom"
"Biomass Power Project of Gia Lai Cane Sugar and Thermoelectricity Joint
Stock Company (Nhà máy nhiệt điện Ayun Pa)",Biomass,Operational,12,2013,Vietnam,"Gia Lai Cane Sugar and Thermoelectricity Joint Stock Company (SEC), Investment and Trade Consultancy Company Limited (ITRACO)","Sweden; Finland","NeCF; funded by a consortium of European agencies; led by the Nordic Environment Finance Corporation (NEFCO) - a PPP",," ",Vietnam,"Gia Lai","Ayun Pa"
"Bionersis Project Thailand 1",Waste,Unknown,2,,Thailand,"Bionersis  Ltd.",France,"Bionersis S.A.",," ",Thailand,"Nakhon Pathom","Kamphaeng Saen"
"BLCP Power Ltd Rayong Banpu Gas Power Ltd",Coal,Unknown,673.25,2006,,,,,," ",Thailand,Rayong,"Muang Rayong"
"Blue Dot Wind Power Project",Wind,Planned,80,,Singapore,"The Blue Circle Pte Ltd",,,,,Cambodia,Kampot,"Tuek Chhou"
"Blue Fire Bio Wastewater Treatment",Waste,Unknown,3.128,,Thailand,"Blue Fire Bio Co., Ltd.",,,Switzerland,"South Pole Carbon Asset Management Ltd.",Thailand,"Nakhon Ratchasima","Dan Khun Thot"
"BMT Solar Farm (dự án trang trại điện mặt trời BMT)",Solar,Operational,30,2020,"South Korea","Solar Park Global, Long Thanh Infrastructure Development and Investment Company (Công ty cổ phần đầu tư và phát triển hạ tầng Long Thành)",,,," ",Vietnam,"Đắk Lắk","Krông Pắc"
"Bo Nok Power Plant",Gas,Unknown,734,,"Thailand; USA","Gulf Power Generation Co. Ltd (Thailand); Gulf Electric Co. Ltd. (Thailand); Edison Mission Energy (USA)",,,," ",Thailand,"Prachuap Khiri Khan","Muang Prachuap Khiri Khan"
"Bo Phloi Power Plant",Biomass,Operational,9.9,2017,Thailand,"Advance Clean Power Co., Ltd.",,,," ",Thailand,Kanchanaburi,"Bo Phloi"
"Bokor Plateau",Hydro,Planned,28,,,,,,," ",Cambodia,Kampot,"Tuek Chhou"
"Botum Sakor Coal Plant",Coal,Planned,700,2024,Cambodia,"Royal Group",,,China,"Sinosteel Engineering & Technology",Cambodia,"Koh Kong","Botum Sakor"
Bourbon,Oil,Operational,24,,,,,,," ",Vietnam,"Long An","Cần Đước"
"BP Solar 1 (Điện mặt trời BP Solar 1)",Solar,Operational,46,2019,,,,,," ",Vietnam,"Ninh Thuận","Ninh Phước"
"Bu Ca Mau",Hydro,Operational,4,2009,Vietnam,"Cat Nam Trading - Services and Production Company, Limited",,,," ",Vietnam,"Bình Phước","Phước Long"
Buanlung,Hydro,Planned,30,,China,"PowerChina International (China)",,,," ",Myanmar,Chin,Palam
"Buasommai I biomass power plant",Biomass,Unknown,9.9,2013,"Thailand; Switzerland","Buasommai Electricity Generating Co., Ltd., Quality Carbon Assets AG",,,," ",Thailand,"Roi Et","Muang Roi Et"
"Buasommai II biomass power plant",Biomass,Unknown,9.9,2013,"Thailand; Switzerland","Buasommai Electricity Generating Co., Ltd., Quality Carbon Assets AG",,,," ",Thailand,"Roi Et",Suwannaphum
"Bukit Asam",Coal,Cancelled,200,,Indonesia,"PT Bukit Asam (Indonesia)",,,," ",Myanmar,Shan,Kengtung
"Buon Tuasrah",Hydro,Operational,86,2009,Vietnam,"EVN (Vietnam)",,,," ",Vietnam,"Đắk Nông","Krông Nô"
"Buri Ram 1 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power (Bureerum 1) Company Limited (Solar Power Co. Ltd)",,,," ",Thailand,"Buri Ram","Nong Ki"
"Buri Ram 2 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power (Bureerum 2)Company Limited (Solar Power Co. Ltd)",,,," ",Thailand,"Buri Ram","Nong Ki"
"Buri Ram 3 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power (Bureerum 3) Company Limited (Solar Power Co. Ltd)",,,," ",Thailand,"Buri Ram","Prakhon Chai"
"Buriram Biomass Power Plant",Biomass,Unknown,9.9,2015,Thailand,"Buriram Energy Co., Ltd. (Subsidiary of Buriram Sugar Public Co., Ltd.)",,,," ",Thailand,"Buri Ram","Khu Muang"
"Buriram Cogeneration Plant",Biomass,Unknown,9.9,2012,Thailand,"Buriram Energy Co., Ltd. (Subsidiary of Buriram Sugar Public Co., Ltd.)",,,," ",Thailand,"Buri Ram","Khu Muang"
"Buriram Power Plus Company",Biomass,Unknown,9.9,2015,Thailand,"Buriram Power Plus Co., Ltd.",,,," ",Thailand,"Buri Ram","Muang Buri Ram"
"Buriram Sugar Factory",Biomass,Unknown,18.5,,Thailand,"Buriram Sugar Factory Co., Ltd. (Subsidiary of Buriram Sugar Public Co., Ltd.)",,,," ",Thailand,"Buri Ram","Khu Muang"
"Buôn Kuốp",Hydro,Operational,280,2011,Vietnam,"EVN (Vietnam)",,,Vietnam,Vinanico,Vietnam,"Đắk Nông","Krông Nô"
